exercice_de_la_premiere_decision;famille_de_procedure_du_dossier;dossier;beneficiaire;type_de_tiers;commission;montant_vote;localisation_projet;montant_vote_par_localisation;pourcentage_de_la_localisation;adresse_administrative_du_tiers_beneficiaire;adresse_administrative_code_postal_du_tiers_beneficiaire;adresse_administrative_ville_du_tiers_beneficiaire;adresse_administrative_code_departement_du_tiers_beneficiaire;wgs84
2012;Subventions spécifiques de fonctionnement;FESTIVAL JAZZ AU THEATRE 2012  NOUVELLE AIDE;RJ 77 RESEAU JAZZ 77;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 29 mars 2012;4000;FONTAINEBLEAU;4000;100,00%;40 RUE GRANDE;77300;FONTAINEBLEAU;77;48.4044902,2.7010051
2012;Subventions spécifiques de fonctionnement;FESTIVAL TA PAROLE;BOLONDOKHAZA;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 29 mars 2012;10000;MONTREUIL;10000;100,00%;10 B RUE FRANCOIS DEBERGUE;93100;MONTREUIL SOUS BOIS;93;48.8581314,2.4386709
2012;Subventions spécifiques de fonctionnement;FESTIVAL SAINT DENIS  VOLET METIS RENOUVELLEMENT;FESTIVAL SAINT-DENIS;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 29 mars 2012;60000;SEINE SAINT DENIS;60000;100,00%;16, place de la Légion d'honneur;93200;ST DENIS;93;48.9348003,2.3582724
2012;Subventions spécifiques de fonctionnement;"NUIT VIVE - FESTIVAL MUSIQUES ACTUELLES ""NUITS CAPITALES""";NUIT VIVE;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 11 octobre 2012;18000;VILLE DE PARIS;18000;100,00%;67 AV PARMENTIER;75011;PARIS;75;48.8639625,2.375494
2013;Subventions spécifiques de fonctionnement;MJC LES TERRASSE - FESTIVAL  BONNE MACHINE  RENOUVELLEMENT 2013;MJC CONFLANS STE HONORIN MAISON JEUNES & CULTURE;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 4 avril 2013;5000;CONFLANS-SAINTE-HONORINE;5000;100,00%;AV  DU PONT;78700;CONFLANS STE HONORINE;78;48.990795,2.0817979
2013;Subventions spécifiques de fonctionnement;CIFORDOM (BANLIEUES TROPICALES 2013 - NOUVELLE DEMANDE 2013);CIFORDOM CTRE INFORM FORMAT RECH ORIG OUTRE MER;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 20 novembre 2013;25000;DEPARTEMENT DE PARIS;25000;100,00%;RUE DU LANGUEDOC;91300;MASSY;91;48.7355416,2.2968414
2013;Subventions spécifiques de fonctionnement;MECANICK'S (WEATHER FESTIVAL - NOUVELLE DEMANDE 2013);MECANICK'S;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 30 mai 2013;8000;REGION ILE DE FRANCE;8000;100,00%;48 BOULEVARDS DU MONTPARNASSE;75015;PARIS;75;48.8445588,2.3213401
2013;Subventions spécifiques de fonctionnement;VILLES MUSIQUES DU MONDE  - RENOUVELLEMENT CP JUILLET 2013;VILLES MUSIQUES DU MONDE;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 11 juillet 2013;38000;REGION ILE DE FRANCE;38000;100,00%;4 avenue de la Division Leclerc;93300;AUBERVILLIERS;93;48.9140767,2.4064551
2014;Subventions spécifiques de fonctionnement;VILLES MUSIQUES DU MONDE ( FESTIVAL DES MUSIQUES - RENOUVELLEMENT 2014);VILLES MUSIQUES DU MONDE;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 18 juin 2014;38000;REGION ILE DE FRANCE;38000;100,00%;4 AVENUE DE LA DIVISION LECLERC;93300;AUBERVILLIERS;93;48.9140767,2.4064551
2014;Subventions spécifiques de fonctionnement;COMMUNE DE MARCOUSSIS - FESTIVAL ELFONDUROCK RENOUVELLEMENT 2014;COMMUNE DE MARCOUSSIS;Communes;Commission permanente du 10 avril 2014;13500;MARCOUSSIS;13500;100,00%;5  RUE ALFRED DUBOIS;91460;MARCOUSSIS;91;48.6431769,2.2314522
